query,title,abstract,year,authors,venue,citations,url,relevance
"""International Day of Yoga""",Yoga for the World,The International Day of Yoga aims to raise awareness worldwide of the many benefits of  practicing yoga. The resolution notes “the importance of individuals and populations making,NA,"['Y Sahu', 'R Deshmukh']",Agriculture and Rural Development: Spatial …,0,https://www.researchgate.net/profile/Santosh-Mane-2/publication/343690207_Morphometric_Characteristics_Analysis_of_Bend_Nala_using_GIS_and_Spatial_Data/links/5f4b6911458515a88b8ca8c5/Morphometric-Characteristics-Analysis-of-Bend-Nala-using-GIS-and-Spatial-Data.pdf#page=47,6
"""International Day of Yoga""",International day of yoga: understanding its neural mechanisms and clinical applications in brain health,Yoga has become popular in the West as a practice that helps enhance people's health and  improve their physical and mental well-being. (1) There is a growing scientific interest in,2025,"['C Fetter', 'MC Irigoyen']",Frontiers in Human Neuroscience,0,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2025.1625827/full,6
"""International Day of Yoga""",International Sivananda Yoga Vedanta Centers,"the promotion by the Indian Government's mission to propagate Yoga as a traditional  cultural asset of India, for instance, through events during the annual International Day of Yoga (",2023,['JU Augspurger'],NA,0,https://open.library.ubc.ca/media/download/pdf/52387/1.0438183/2,6
"""International Day of Yoga""",Economic Dimensions Of Yoga: Market Size Comparison Between India And The World,"Key milestones include UNESCO designating yoga as an Intangible Cultural Heritage in  2016 and the UN proclaiming June 21 as the International Day of Yoga in 2015, following India’",2025,"['A Augustine', 'V Hase']",NA,0,https://www.preprints.org/manuscript/202507.0617/download/final_file,6
"""International Day of Yoga""",Future Health,"initiatives on 10th International Day of Yoga 2024, focusing  The events held on International  Day of Yoga 2024 at AIIMS  Bhopal's celebration of International Day of Yoga 2024 aligns",2024,"['D Javed', 'C Surywanshi', 'V Malhotra', 'B Raghuvanshi']",Future,0,https://www.researchgate.net/profile/Dr-Surywanshi-2/publication/389024713_Synergizing_yoga_science_and_society_for_well-being_through_innovative_yoga_practices_on_International_Day_of_Yoga_2024/links/683b45f6df0e3f544f5c2aa1/Synergizing-yoga-science-and-society-for-well-being-through-innovative-yoga-practices-on-International-Day-of-Yoga-2024.pdf,6
"""International Day of Yoga""",Yoga Life (April 2026),The celebration of the 11th International Day of Yoga is highlighted in this issue with images  of various events shining on all pages. This year the Rishiculture Gitananda Yoga family,2026,['AB Bhavanani'],Yoga Life (April),0,https://www.academia.edu/download/132299847/April_2026.pdf,6
"""International Day of Yoga""",Yoga and Basic Medical Sciences First Year of International Day of Yoga 21 June 2015,"effort of Honorable Prime Minister of India Shri Narendra Modi, United Nations General  Assembly (UNGA) declared and celebrated on 21 June as INTERNATIONAL DAY OF YOGA for",2015,['J Bhatt'],Indian Journal of Applied Basic Medical Sciences,0,https://indianjournals.com/api/article-view/ijabms-17b-25-editorial,6
"""International Day of Yoga""",Yoga During a Genocide at Al-Jawad Camp: An Interview with Hadeel Gharbawi,"at Al-Jawad joined us for International Day of Yoga, and I’m  day, knowing that it was  International Day of Yoga and that other  like to participate in the International Day of Yoga action",2025,['S Sood'],Race and Yoga,0,https://escholarship.org/content/qt25n1c174/qt25n1c174.pdf,6
"""International Day of Yoga""",Yoga & Indian Cultural Heritage,", recognized globally, especially after International Day of Yoga was declared by the UN in   Nations proclaimed June 21st as the International Day of Yoga in 2014, 6 acknowledging its",NA,['H Maheshwari'],Yoga: Tradition to Transformation,0,https://www.researchgate.net/profile/Dr-Garima-3/publication/398078146_Editor_in_Chief_Associate_Editor/links/6929aa70e889e65e796a7004/Editor-in-Chief-Associate-Editor.pdf#page=34,6
"""International Day of Yoga""",Exploring economic opportunities for Yoga as a soft power Industry in the global wellness market,"the growth of yoga retreats, online teaching platforms, teacher training programs, wellness  product exports, and the role of government initiatives such as the International Day of Yoga",NA,"['P Kumari', 'KK Shrilata', 'A Rai', 'M Vijay']",NA,0,https://www.researchgate.net/profile/Priyanka-Kumari-57/publication/400142721_Exploring_economic_opportunities_for_Yoga_as_a_soft_power_Industry_in_the_global_wellness_market/links/697a3a3b5d60ab483568ceca/Exploring-economic-opportunities-for-Yoga-as-a-soft-power-Industry-in-the-global-wellness-market.pdf,6
"""International Day of Yoga""",Yoga and The Right to Health: International Legal Perspectives,"In 2014, the United Nations General Assembly passed a resolution designating June 21 as  the International Day of Yoga, recognizing its worldwide popularity and health advantages.",NA,['TS Devi'],Dialogue on Wellness: A Multidisciplinary Approach,0,https://www.researchgate.net/profile/Vd-Disha-Chhatbar/publication/396194239_Inner_Peace_Outer_Justice_Reimagining_Law_and_Human_Rights_Through_the_Yogic_Lens/links/68e1205b9383755fd70935f9/Inner-Peace-Outer-Justice-Reimagining-Law-and-Human-Rights-Through-the-Yogic-Lens.pdf#page=50,6
"""International Day of Yoga""",Impact of Yoga on Indian Culture and Society–A Brief Study,"In modern India, yoga has emerged as a tool for national integration, global diplomacy (especially  through the International Day of Yoga), and social reform. It is widely integrated into",2025,['JB Roy'],Sanatanodaya,0,https://sanatanodaya.com/index.php/dj/article/view/127,6
"""International Day of Yoga""","Yoga, meditation, and well-being in philately: A visual analysis of cultural and symbolic themes","Series, the 2015 and 2016 International Day of Yoga stamps, and the United Nations’ 2017   To commemorate the International Day of Yoga, recognized by the United Nations General",2026,"['Ö Erkin', 'M Coşğun']",Uluslararası Sosyal Bilimler ve Eğitim Dergisi,0,https://dergipark.org.tr/en/pub/usbed/article/1785489,6
"""International Day of Yoga""","Vol. 17, Issue No. 2, June 2024","’ This year commemorates the 10th International Day of Yoga under the theme ""Yoga for self   of individuals performing the ""Surya Namaskar"" during the 10th International Day of Yoga.",NA,"['R Ranade', 'J Nikam']",NA,0,https://www.researchgate.net/profile/Rashmi-Ranade/publication/384925269_Sampreshan_UGC_CARE_GROUP_1/links/670e3f6977bab74415a195ad/Sampreshan-UGC-CARE-GROUP-1.pdf,6
"""International Day of Yoga""",RESEARCH PROJECT On THE GLOBALIZATION OF YOGA: WESTERN CULTURE AND ADAPTED YOGA,"Movements like ""Yoga Alliance International"" and Indian government initiatives (eg,  International Day of Yoga) promote a more traditional understanding of yoga, emphasizing its",NA,"['MP Bhatt', 'N Gupta']",NA,0,https://www.academia.edu/download/122996129/Yoga_Neelam.pdf,6
"""International Day of Yoga"" diplomacy",THE ROLE OF INDIAN KNOWLEDGE SYSTEMS IN SHAPING THE FOREIGN POLICY OF INDIA: A CRITICAL ANALYSIS,"In conclusion, the International Day of Yoga exemplifies how IKS-based cultural diplomacy  can elevate a nation’s soft power. By sharing yoga with the world, India not only promotes",NA,['DRS JAMEELA'],NA,0,https://www.researchmatrix.org/henxi/29.pdf,6
"""International Day of Yoga"" diplomacy",INDIA'S CULTURAL DIPLOMACY IN THE MODI ERA: SOFT POWER AS A STRATEGIC TOOL IN GLOBAL GOVERNANCE,"India’s cultural diplomacy has emerged as a pivotal  such as the International Day of Yoga,  expanding cultural centers  This paper examines how cultural diplomacy functions not merely",2026,['R Chandra'],ShodhSamajik: Journal of Social Studies,0,https://shodhsamajik.com/shodhsamajik/article/view/95,6
"""International Day of Yoga"" diplomacy",8 India's Public Diplomacy Re-posturing,"speech, the UN declared 21 June 2015 (the summer solstice and the anniversary day  recognising when Lord Shiva became the first yogi) to be the first official International Day of Yoga",2021,['AE Davis'],The Frontiers of Public Diplomacy: Hegemony …,0,https://books.google.com/books?hl=en&lr=&id=pMIrEAAAQBAJ&oi=fnd&pg=RA1-PT148&dq=%22International+Day+of+Yoga%22+diplomacy&ots=L7OZbmdNhW&sig=xGmokTAd8zPxdLUerOFvyiMcIL4,6
"""International Day of Yoga"" diplomacy",CULTURAL DIPLOMACY AND DIASPORA POLITICS: INDIA'S SOFT POWER TOOLS IN GLOBAL OUTREACH,has played a significant role in strengthening cultural diplomacy as a core element of India’s   has been the global recognition of the International Day of Yoga on 21 June by the United,NA,['M Khatun'],NA,0,https://tssreview.in/wp-content/uploads/2026/03/16-Muslima-Khatun.pdf,6
"""International Day of Yoga"" diplomacy",INDIA'S CULTURAL AND SOFT POWER EFFORTS AND THEIR IMPACT ON GLOBAL PERCEPTION,"June 21 as the International Day of Yoga, which was adopted by the United Nations with  overwhelming global support, is a prime example of its cultural diplomacy. This initiative, which",NA,['PR Reddy'],NA,0,http://ijmer.s3.amazonaws.com/pdf/volume14/volume14-issue2(1)/11.pdf,6
"""International Day of Yoga"" diplomacy",Yoga Beyond Asanas: Reclaiming Bharat's Philosophical Blueprint for Rashtra Nirman and Global Harmony,"Initiatives such as the International Day of Yoga, the Fit India Movement, and the  in  diplomacy to enhance India’s national interests (Mazumdar,2018). India’s soft power diplomacy",2025,"['G Upadhyay', 'N Joshi', 'A Mishra']",Journal of Native India & …,0,https://journal.jnids.com/index.php/home/article/view/44,6
"""International Day of Yoga"" diplomacy",ENHANCING INDIA'S SOFT POWER THROUGH GLOBAL CULTURAL OUTREACH,utilizing culture in diplomacy; referring to the country’s active participation in the United  Nations and initiative in leading overall celebration of the International Day of Yoga (Kumar &,2025,['Y Tanwar'],INTERNATIONAL JOURNAL,0,https://www.ijssr.com/wp-content/uploads/journal/published_paper/volume-2/issue-1/IJSSR30271.pdf,6
"""International Day of Yoga"" diplomacy",Heritage as Soft Power: Examining the Indian Experience,have become equally essential diplomacy tools for states'  It helps the Indian state and  diplomacy foster its force to  the world celebrated the International Day of Yoga on June 21st,2022,['R Keer'],THE PAST,0,https://archaeology.gov.lk/media/attachments/2022/08/05/the-past.pdf#page=106,6
"""International Day of Yoga"" diplomacy",India's Soft Power Diplomacy in Africa: The Case of South Africa.,"Tanzania has also hosted cultural events such as the International Day of Yoga and festivals  like Namaste India. In Uganda, the Indian association, in partnership with the Indian high",2025,['S Ng'],IUP Journal of International Relations,0,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09738509&AN=188014407&h=PGOd2CmfjzaibZJvxHiGdMqcEXrxYNsk2dvjZx1NzgFQlyi2SCqYD%2B%2FBpRG5ekth1ITzro96dnLSshibUxVzkA%3D%3D&crl=c,6
"""International Day of Yoga"" diplomacy",SOFT POWER AND THE RISE OF INDIA: GLOBAL IMPLICATIONS OF NARENDA MODI'S FOREIGN POLICY.,"by foregrounding cultural diplomacy, civilisational heritage,  elements like yoga, vaccine  diplomacy, and cultural symbolism  June 21 as the International Day of Yoga nine years ago. It",2026,['S Bhattacharyya'],Revista UNISCI,0,https://www.unisci.es/wp-content/uploads/2026/01/UNISCIDP-70-71-6SOHOM.pdf,6
"""International Day of Yoga"" diplomacy",India's Soft Power and Global Diplomacy in the Era of Viksit Bharat,Knowledge Systems and Wellness Diplomacy: Traditional practices such as yoga and   such as the UN recognition of the International Day of Yoga in 2014. These practices not only,2025,['VK Hind'],Reimagining India: Policies and Perspectives of Viksit …,0,https://books.google.com/books?hl=en&lr=&id=2sGeEQAAQBAJ&oi=fnd&pg=PA195&dq=%22International+Day+of+Yoga%22+diplomacy&ots=gDkESzcaIX&sig=92Fb0r3iRmiP8EHodCdgZpfIVcc,6
"""International Day of Yoga"" diplomacy",India's Strategic Deployment of Soft Power in South Asia: Cultivating Regional Identity and Promoting Cooperation,"by drawing on cultural, educational, and diplomatic resources to shape regional identity and  to  International Day of Yoga—the annual celebration, established in 2014 at the behest of",NA,['U Singh'],NA,0,https://dcac.du.ac.in/assets/pdf/Journal/Vol-7/8.pdf,6
"""International Day of Yoga"" soft power",Culture as a Tool of Soft Power in Indian Context,"June 21, 2015 the world observed International Day of yoga for the  irst time ever. UN  resolution to this effect that India moved in the General Assembly co-sponsored by an",NA,['V Laxmi'],Editor's Desk,0,http://researchreinforcement.com/issues/English-Web-final.pdf#page=69,6
"""International Day of Yoga"" soft power",INDIA: A GLOBAL SOFT POWER LEADER IN THE 21ST CENTURY,"Modi’s emphasis on the so-called “Yoga diplomacy,” including India’s successful lobbying  efforts to get June 21 recognized as the UN General Assembly’s “International Day of Yoga.”",NA,"['M Luxmi', 'MS Kashyap']",NA,0,https://anubooks.com/uploads/files/17111884081.pdf,6
"""International Day of Yoga"" soft power",Analysis of Soft Power Pillars and Power Systems in the Republic of India,"by Modi establishing an International Day of Yoga, which had 175 sponsors at the the United  Nations General Assembly.As a result, on the International Day of Yoga, events honoring",2024,['L Sugarman'],NA,0,https://dc.cod.edu/srs/2024/schedule/5/,6
"""International Day of Yoga"" India",WORLD'S FIRST SYMPOSIUM,"Indian  International Day of Yoga among the comity of nations at the UNO. Since that  announcement, Yoga has spread its useful wings all over the world and International Day of Yoga (",2019,['CV Chairman'],NA,0,http://www.yogaiya.in/wp-content/uploads/2018/12/yoga-sudha-dec-2018.pdf,6
"""International Day of Yoga"" India",The Use of Yogic Practices for Individual Development and as a Foundation for an Awakened Society in Context of NEP 2020.,"the International Day of Yoga started, the promotion and spread of Yoga has started in India   , so students from outside India can be easily absorbed into the Indian education system.”",2025,"['D Sharma', 'A Jain']",Delhi Business Review,0,https://www.delhibusinessreview.org/V26n2/dbr_v26n2b.pdf,6
"""International Day of Yoga"" India",in Contemporary India,"of yoga and nationalism in India under its current Hindutva  as a landmark element of  Indian identity, which, according to  ) and the promotion of the International Day of Yoga, 2. the",2024,['M Di Placido'],Religion Between Governance and Freedoms,0,https://books.google.com/books?hl=en&lr=&id=iKMrEQAAQBAJ&oi=fnd&pg=PA106&dq=%22International+Day+of+Yoga%22+India&ots=SCCqxHWFru&sig=jLZZe-uRElPzCzGoG89q79hpyv8,6
"""United Nations"" ""International Day of Yoga""",Sustainable Development Goal: Good Health and Well-Being through Ayurveda and Yoga,", and the United Nations has proclaimed June 21st to be the International Day of Yoga.Yoga   The United Nations Sustainable Development Goal 3 highlights the importance of ensuring",2024,"['BP Patel', 'SM Prasad']",Journal of Ayurveda Campus,0,https://nepjol.info/index.php/jac/article/download/83828/64004,6
"""United Nations"" ""International Day of Yoga""","Inner Peace, Outer Justice: Reimagining Law and Human Rights Through the Yogic Lens",Yoga's diplomatic and legal stature has grown on a global scale since the United Nations  recognised it by establishing the International Day of Yoga. The protection of traditional,NA,['DK Chhatbar'],Dialogue on Wellness: A Multidisciplinary Approach,0,https://www.researchgate.net/profile/Vd-Disha-Chhatbar/publication/396194239_Inner_Peace_Outer_Justice_Reimagining_Law_and_Human_Rights_Through_the_Yogic_Lens/links/68e1205b9383755fd70935f9/Inner-Peace-Outer-Justice-Reimagining-Law-and-Human-Rights-Through-the-Yogic-Lens.pdf#page=101,6
"""United Nations"" ""International Day of Yoga""",Chitta-Prasādanam in Yoga Sūtra: A Philosophical Framework for Global Mental Health and Social Well-being Development,"In addition, the creation of the United Nations International Day of Yoga shows that the  world has become aware of the yoga-based approaches as the ways to strength of the mind,",NA,"['N Goyal', 'R Kishore', 'AK Yadav', 'P Pandey', 'AK Katiyar']",NA,0,https://www.researchgate.net/profile/Ashish-Katiyar-2/publication/395305472_Chitta-Prasadanam_in_Yoga_Sutra_A_Philosophical_Framework_for_Global_Mental_Health_and_Social_Well-being_Development/links/68bbc98c83031f0e13f22c33/Chitta-Prasadanam-in-Yoga-Sutra-A-Philosophical-Framework-for-Global-Mental-Health-and-Social-Well-being-Development.pdf,6
